County,Hispanic,White,Black,Native,Asian,Pacific
Adams County,1.5,92.0,3.9,0.2,0.8,0.1
Alexander County,1.0,61.8,34.6,0.6,0.2,0.0
Bond County,3.5,87.8,6.1,0.2,1.2,0.0
Boone County,21.0,74.0,2.1,0.3,1.2,0.0
Brown County,3.6,73.6,21.3,0.0,0.6,0.0
Bureau County,8.8,88.4,0.8,0.1,0.8,0.0
Calhoun County,1.1,96.7,0.3,0.1,0.9,0.0
Carroll County,3.6,93.4,1.2,0.1,0.7,0.0
Cass County,18.8,76.2,3.9,0.0,0.3,0.0
Champaign County,5.7,68.3,13.0,0.1,10.3,0.1
Christian County,1.6,95.2,1.6,0.3,0.6,0.1
Clark County,1.5,96.7,0.3,0.1,0.4,0.0
Clay County,1.4,96.4,0.7,0.1,0.7,0.0
Clinton County,3.1,91.6,3.5,0.3,0.6,0.0
Coles County,2.4,91.0,3.8,0.2,1.2,0.0
Cook County,25.1,42.7,23.4,0.1,6.9,0.0
Crawford County,2.9,91.0,4.1,0.1,0.4,0.0
Cumberland County,1.1,96.7,0.1,0.2,0.3,0.1
DeKalb County,10.8,77.6,7.1,0.0,2.4,0.0
De Witt County,2.6,89.1,0.4,0.2,0.1,0.2
Douglas County,7.2,90.5,0.3,0.3,0.7,0.1
DuPage County,14.1,67.9,4.6,0.1,11.3,0.0
Edgar County,1.1,97.2,0.6,0.2,0.4,0.0
Edwards County,1.3,96.7,0.4,0.0,0.9,0.0
Effingham County,1.9,96.0,0.6,0.1,0.2,0.0
Fayette County,1.7,91.8,5.1,0.3,0.5,0.0
Ford County,3.0,94.3,0.9,0.4,0.5,0.0
Franklin County,1.6,96.0,0.6,0.2,0.5,0.1
Fulton County,2.9,92.0,3.8,0.1,0.2,0.0
Gallatin County,1.1,95.8,0.3,0.5,0.3,0.0
Greene County,0.4,96.7,1.3,0.2,0.2,0.0
Grundy County,9.4,87.1,1.3,0.0,0.7,0.0
Hamilton County,0.3,98.9,0.6,0.1,0.1,0.0
Hancock County,1.4,96.3,0.7,0.0,0.4,0.0
Hardin County,1.8,93.1,3.8,0.2,0.1,0.0
Henderson County,1.5,96.3,0.1,0.3,0.7,0.0
