County,Population,Income,Poverty,Total_Employment,Labor_Force,Total_Unemployment,Unemployment_Rate
Adams County,66787,48454,13.1,30784.0,31892.0,1108.0,3.5
Alexander County,6776,31014,33.4,2094.0,2251.0,157.0,7.0
Bond County,17034,54393,15.7,7620.0,7924.0,304.0,3.8
Boone County,53638,62701,10.6,24240.0,26101.0,1861.0,7.1
Brown County,6791,56289,11.6,2884.0,2960.0,76.0,2.6
Bureau County,33619,54271,12.6,16737.0,17483.0,746.0,4.3
Calhoun County,4897,53641,12.8,2251.0,2374.0,123.0,5.2
Carroll County,14704,50555,11.3,7217.0,7543.0,326.0,4.3
Cass County,12880,50156,13.1,5894.0,6153.0,259.0,4.2
Champaign County,207946,49586,21.4,102124.0,106154.0,4030.0,3.8
Christian County,33562,50668,12.8,14434.0,15158.0,724.0,4.8
Clark County,15924,52068,14.3,7841.0,8174.0,333.0,4.1
Clay County,13393,47427,14.0,6442.0,6769.0,327.0,4.8
Clinton County,37640,64543,9.0,19742.0,20391.0,649.0,3.2
Coles County,52540,41907,21.0,23705.0,24702.0,997.0,4.0
Cook County,5238541,59426,15.9,2481636.0,2596260.0,114624.0,4.4
Crawford County,19214,47468,11.9,8421.0,8845.0,424.0,4.8
Cumberland County,10899,50680,14.3,5833.0,6037.0,204.0,3.4
DeKalb County,104473,58343,18.1,51611.0,54020.0,2409.0,4.5
De Witt County,16176,55411,13.3,,,,
Douglas County,19830,52261,12.1,9980.0,10330.0,350.0,3.4
DuPage County,931826,84442,6.8,487370.0,504532.0,17162.0,3.4
Edgar County,17603,47873,15.4,9490.0,9908.0,418.0,4.2
Edwards County,6570,49632,11.5,2854.0,2964.0,110.0,3.7
Effingham County,34164,54655,11.3,17915.0,18556.0,641.0,3.5
Fayette County,21980,44541,17.8,9020.0,9513.0,493.0,5.2
Ford County,13470,50851,15.7,6430.0,6718.0,288.0,4.3
Franklin County,39302,39454,19.9,15335.0,16331.0,996.0,6.1
Fulton County,35733,48599,15.5,14676.0,15620.0,944.0,6.0
Gallatin County,5226,42450,16.6,2428.0,2562.0,134.0,5.2
Greene County,13311,44502,17.9,5665.0,5938.0,273.0,4.6
Grundy County,50333,71598,9.4,23764.0,24980.0,1216.0,4.9
Hamilton County,8259,47293,13.9,4166.0,4354.0,188.0,4.3
Hancock County,18264,51460,11.2,8258.0,8652.0,394.0,4.6
Hardin County,4161,39524,16.6,1246.0,1337.0,91.0,6.8
Henderson County,6927,47428,11.3,3568.0,3732.0,164.0,4.4
Henry County,49649,55755,12.5,23681.0,24822.0,1141.0,4.6
Iroquois County,28457,48857,15.5,14210.0,14819.0,609.0,4.1
Jackson County,59115,36008,27.9,27137.0,28249.0,1112.0,3.9
Jasper County,9608,56523,12.4,4386.0,4583.0,197.0,4.3
Jefferson County,38358,46109,18.9,16488.0,17342.0,854.0,4.9
Jersey County,22215,56320,9.4,10630.0,11122.0,492.0,4.4
Jo Daviess County,22046,55532,7.6,,,,
Johnson County,12899,45743,13.9,3913.0,4179.0,266.0,6.4
Kane County,529402,74862,10.4,251896.0,263596.0,11700.0,4.4
Kankakee County,110801,56542,15.1,51447.0,54165.0,2718.0,5.0
Kendall County,122933,89860,5.6,62992.0,65474.0,2482.0,3.8
Knox County,51374,41972,18.1,22251.0,23333.0,1082.0,4.6
Lake County,704476,82613,8.5,351934.0,367176.0,15242.0,4.2
LaSalle County,111151,54693,13.6,53308.0,56210.0,2902.0,5.2
Lawrence County,16457,44504,16.4,5708.0,6048.0,340.0,5.6
Lee County,34670,58319,11.8,16979.0,17685.0,706.0,4.0
Livingston County,36812,54339,13.3,15971.0,16656.0,685.0,4.1
Logan County,29488,58271,9.2,12526.0,13056.0,530.0,4.1
McDonough County,31597,42911,22.3,13380.0,13949.0,569.0,4.1
McHenry County,308043,82230,7.3,157004.0,163456.0,6452.0,3.9
McLean County,173231,64573,14.5,86341.0,89652.0,3311.0,3.7
Macon County,107587,49052,16.6,47287.0,49745.0,2458.0,4.9
Macoupin County,45960,53890,13.3,22207.0,23208.0,1001.0,4.3
Madison County,266153,56536,13.5,127984.0,133821.0,5837.0,4.4
Marion County,38305,44679,17.8,16756.0,17627.0,871.0,4.9
Marshall County,11925,55173,10.3,5357.0,5653.0,296.0,5.2
Mason County,13904,44695,13.9,6037.0,6391.0,354.0,5.5
Massac County,14594,42168,18.4,5595.0,5943.0,348.0,5.9
Menard County,12416,62368,11.4,6567.0,6810.0,243.0,3.6
Mercer County,15794,55649,11.4,7761.0,8132.0,371.0,4.6
Monroe County,33739,74410,5.3,17743.0,18297.0,554.0,3.0
Montgomery County,29173,47807,15.6,11509.0,12094.0,585.0,4.8
Morgan County,34442,49353,14.9,16406.0,17040.0,634.0,3.7
Moultrie County,14711,53979,12.1,7078.0,7339.0,261.0,3.6
Ogle County,51619,57655,11.1,24705.0,25960.0,1255.0,4.8
Peoria County,186145,53063,15.9,83421.0,88226.0,4805.0,5.4
