employment,labor_force,lausexnum,month,name,unemployment,unemprate,year
30784,31892,1,4,Adams County,1108,3.5,2017
2094,2251,2,4,Alexander County,157,7.0,2017
7620,7924,3,4,Bond County,304,3.8,2017
24240,26101,4,4,Boone County,1861,7.1,2017
2884,2960,5,4,Brown County,76,2.6,2017
16737,17483,6,4,Bureau County,746,4.3,2017
2251,2374,7,4,Calhoun County,123,5.2,2017
7217,7543,8,4,Carroll County,326,4.3,2017
5894,6153,9,4,Cass County,259,4.2,2017
102124,106154,10,4,Champaign County,4030,3.8,2017
14434,15158,11,4,Christian County,724,4.8,2017
7841,8174,12,4,Clark County,333,4.1,2017
6442,6769,13,4,Clay County,327,4.8,2017
19742,20391,14,4,Clinton County,649,3.2,2017
23705,24702,15,4,Coles County,997,4.0,2017
2481636,2596260,16,4,Cook County,114624,4.4,2017
8421,8845,17,4,Crawford County,424,4.8,2017
5833,6037,18,4,Cumberland County,204,3.4,2017
51611,54020,19,4,DeKalb County,2409,4.5,2017
7533,7871,20,4,DeWitt County,338,4.3,2017
9980,10330,21,4,Douglas County,350,3.4,2017
487370,504532,22,4,DuPage County,17162,3.4,2017
9490,9908,23,4,Edgar County,418,4.2,2017
2854,2964,24,4,Edwards County,110,3.7,2017
17915,18556,25,4,Effingham County,641,3.5,2017
9020,9513,26,4,Fayette County,493,5.2,2017
6430,6718,27,4,Ford County,288,4.3,2017
15335,16331,28,4,Franklin County,996,6.1,2017
14676,15620,29,4,Fulton County,944,6.0,2017
2428,2562,30,4,Gallatin County,134,5.2,2017
5665,5938,31,4,Greene County,273,4.6,2017
23764,24980,32,4,Grundy County,1216,4.9,2017
4166,4354,33,4,Hamilton County,188,4.3,2017
8258,8652,34,4,Hancock County,394,4.6,2017
1246,1337,35,4,Hardin County,91,6.8,2017
3568,3732,36,4,Henderson County,164,4.4,2017
23681,24822,37,4,Henry County,1141,4.6,2017
14210,14819,38,4,Iroquois County,609,4.1,2017
27137,28249,39,4,Jackson County,1112,3.9,2017
4386,4583,40,4,Jasper County,197,4.3,2017
16488,17342,41,4,Jefferson County,854,4.9,2017
10630,11122,42,4,Jersey County,492,4.4,2017
10552,10966,43,4,JoDaviess County,414,3.8,2017
3913,4179,44,4,Johnson County,266,6.4,2017
251896,263596,45,4,Kane County,11700,4.4,2017
51447,54165,46,4,Kankakee County,2718,5.0,2017
62992,65474,47,4,Kendall County,2482,3.8,2017
22251,23333,48,4,Knox County,1082,4.6,2017
351934,367176,49,4,Lake County,15242,4.2,2017
53308,56210,50,4,LaSalle County,2902,5.2,2017
5708,6048,51,4,Lawrence County,340,5.6,2017
16979,17685,52,4,Lee County,706,4.0,2017
15971,16656,53,4,Livingston County,685,4.1,2017
12526,13056,54,4,Logan County,530,4.1,2017
13380,13949,55,4,McDonough County,569,4.1,2017
157004,163456,56,4,McHenry County,6452,3.9,2017
86341,89652,57,4,McLean County,3311,3.7,2017
47287,49745,58,4,Macon County,2458,4.9,2017
22207,23208,59,4,Macoupin County,1001,4.3,2017
127984,133821,60,4,Madison County,5837,4.4,2017
16756,17627,61,4,Marion County,871,4.9,2017
5357,5653,62,4,Marshall County,296,5.2,2017
6037,6391,63,4,Mason County,354,5.5,2017
5595,5943,64,4,Massac County,348,5.9,2017
6567,6810,65,4,Menard County,243,3.6,2017
7761,8132,66,4,Mercer County,371,4.6,2017
17743,18297,67,4,Monroe County,554,3.0,2017
11509,12094,68,4,Montgomery County,585,4.8,2017
16406,17040,69,4,Morgan County,634,3.7,2017
7078,7339,70,4,Moultrie County,261,3.6,2017
24705,25960,71,4,Ogle County,1255,4.8,2017
83421,88226,72,4,Peoria County,4805,5.4,2017
8032,8487,73,4,Perry County,455,5.4,2017
8219,8524,74,4,Piatt County,305,3.6,2017
7341,7640,75,4,Pike County,299,3.9,2017
